Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.31      2.75     0.01   985807     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.31      2.76     0.01   948662     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.31      2.77     0.01   850054     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<int>)({parm#3}))) std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.31      2.78     0.01   723819     0.00     0.00  CGAL::SM_Halfedge_index::SM_Halfedge_index(unsigned int)
  0.31      2.79     0.01   713801     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.31      2.80     0.01   713801     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.31      2.81     0.01   713801     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.31      2.82     0.01   706808     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.31      2.83     0.01   683313     0.00     0.00  std::_Bit_iterator::operator*() const
  0.31      2.84     0.01   637936     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.31      2.85     0.01   613306     0.00     0.00  CGAL::CartesianKernelFunctors::Compute_y_3<CGAL::Simple_cartesian<double> >::operator()(CGAL::Point_3<CGAL::Simple_cartesian<double> > const&) const
  0.31      2.86     0.01   613306     0.00     0.00  CGAL::PointC3<CGAL::Simple_cartesian<double> >::y() const
  0.31      2.87     0.01   553838     0.00     0.00  std::vector<CGAL::Point_3<CGAL::Simple_cartesian<double> >, std::allocator<CGAL::Point_3<CGAL::Simple_cartesian<double> > > >::size() const
  0.31      2.88     0.01   549850     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.31      2.89     0.01   549621     0.00     0.00  std::vector<CGAL::Point_3<CGAL::Simple_cartesian<double> >, std::allocator<CGAL::Point_3<CGAL::Simple_cartesian<double> > > >::operator[](unsigned long)
  0.31      2.90     0.01   522906     0.00     0.00  CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::opposite(CGAL::SM_Halfedge_index) const
  0.31      2.91     0.01   497543     0.00     0.00  bool std::operator< <int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  0.31      2.92     0.01   481581     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::pair<int, int> const, std::vector<int, std::allocator<int> > > >::_M_ptr() const
  0.31      2.93     0.01   445043     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, std::vector<int, std::allocator<int> > >, std::_Select1st<std::pair<std::pair<int, int> const, std::vector<int, std::allocator<int> > > >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, std::vector<int, std::allocator<int> > > > >::_S_key(std::_Rb_tree_node<std::pair<std::pair<int, int> const, std::vector<int, std::allocator<int> > > > const*)
  0.31      2.94     0.01   443361     0.00     0.00  void std::swap<int*>(int*&, int*&)
  0.31      2.95     0.01   427064     0.00     0.00  boost::mpl::if_<mpl_::bool_<false>, CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Index_iterator<CGAL::SM_Face_index> const, CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Index_iterator<CGAL::SM_Face_index> >::type& boost::foreach_detail_::auto_any_cast<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Index_iterator<CGAL::SM_Face_index>, mpl_::bool_<false> >(boost::foreach_detail_::auto_any_base const&)
  0.31      2.96     0.01   402939     0.00     0.00  boost::graph_traits<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > > >::vertex_descriptor CGAL::target<CGAL::Point_3<CGAL::Simple_cartesian<double> > >(boost::graph_traits<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > > >::halfedge_descriptor, CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > > const&)
  0.31      2.97     0.01   344644     0.00     0.00  CGAL::SM_Vertex_index* std::uninitialized_copy<std::move_iterator<CGAL::SM_Vertex_index*>, CGAL::SM_Vertex_index*>(std::move_iterator<CGAL::SM_Vertex_index*>, std::move_iterator<CGAL::SM_Vertex_index*>, CGAL::SM_Vertex_index*)
  0.31      2.98     0.01   325044     0.00     0.00  CGAL::Vertex_around_face_iterator<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > > >::reference boost::iterators::iterator_core_access::dereference<CGAL::Vertex_around_face_iterator<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > > > >(CGAL::Vertex_around_face_iterator<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > > > const&)
  0.31      2.99     0.01   309775     0.00     0.00  _ZNSt16allocator_traitsISaIN4CGAL15SM_Vertex_indexEEE12_S_constructIS1_IS1_EEENSt9enable_ifIXsrSt6__and_IINS3_18__construct_helperIT_IDpT0_EE4typeEEE5valueEvE4typeERS2_PS8_DpOS9_
  0.31      3.00     0.01   303480     0.00     0.00  void std::vector<CGAL::SM_Vertex_index, std::allocator<CGAL::SM_Vertex_index> >::_M_emplace_back_aux<CGAL::SM_Vertex_index>(CGAL::SM_Vertex_index&&)
  0.31      3.01     0.01   231403     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEE9constructIS3_IRKS3_EEEvPT_DpOT0_
  0.31      3.02     0.01   231403     0.00     0.00  _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE9constructIS2_IRKS2_EEEDTcl12_S_constructfp_fp0_spcl7forwardIT0_Efp1_EEERS3_PT_DpOS8_
  0.31      3.03     0.01   221284     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.31      3.04     0.01   155797     0.00     0.00  std::vector<CGAL::Vector_3<CGAL::Simple_cartesian<double> >, std::allocator<CGAL::Vector_3<CGAL::Simple_cartesian<double> > > >::operator[](unsigned long)
  0.31      3.05     0.01   112200     0.00     0.00  _ZSt10_ConstructI11SamplePointIRKS0_EEvPT_DpOT0_
  0.31      3.06     0.01   101714     0.00     0.00  std::vector<CGAL::Point_3<CGAL::Simple_cartesian<double> >, std::allocator<CGAL::Point_3<CGAL::Simple_cartesian<double> > > >::push_back(CGAL::Point_3<CGAL::Simple_cartesian<double> >&&)
  0.31      3.07     0.01    82236     0.00     0.00  _ZNSt16allocator_traitsISaIN4CGAL15SM_Vertex_indexEEE12_S_constructIS1_IRKS1_EEENSt9enable_ifIXsrSt6__and_IINS3_18__construct_helperIT_IDpT0_EE4typeEEE5valueEvE4typeERS2_PSA_DpOSB_
  0.31      3.08     0.01    82236     0.00     0.00  std::vector<CGAL::SM_Vertex_index, std::allocator<CGAL::SM_Vertex_index> >::push_back(CGAL::SM_Vertex_index const&)
  0.31      3.09     0.01    82222     0.00     0.00  CGAL::CartesianKernelFunctors::Less_x_3<CGAL::Simple_cartesian<double> >::operator()(CGAL::Point_3<CGAL::Simple_cartesian<double> > const&, CGAL::Point_3<CGAL::Simple_cartesian<double> > const&) const
  0.31      3.10     0.01    60892     0.00     0.00  CGAL::Halfedge_around_target_iterator<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > > >::Halfedge_around_target_iterator(CGAL::SM_Halfedge_index, CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > > const&, int)
  0.31      3.11     0.01    51930     0.00     0.00  std::move_iterator<std::pair<CGAL::SM_Halfedge_index, CGAL::SM_Halfedge_index>*>::move_iterator(std::pair<CGAL::SM_Halfedge_index, CGAL::SM_Halfedge_index>*)
  0.31      3.12     0.01    47449     0.00     0.00  CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Property_container<CGAL::SM_Vertex_index>::push_back()
  0.31      3.13     0.01    39692     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>, std::random_access_iterator_tag)
  0.31      3.14     0.01    25965     0.00     0.00  void std::__uninitialized_default_n_1<false>::__uninit_default_n<CGAL::SM_Halfedge_index*, unsigned long>(CGAL::SM_Halfedge_index*, unsigned long)
  0.31      3.15     0.01    14400     0.00     0.00  SamplePoint::SamplePoint(CGAL::Point_3<CGAL::Simple_cartesian<double> > const&, CGAL::Vector_3<CGAL::Simple_cartesian<double> > const&, double, int, double, double, int)
  0.31      3.16     0.01      102     0.10     0.30  void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.31      3.17     0.01        4     2.50     2.50  __gnu_cxx::new_allocator<std::string>::new_allocator()
  0.31      3.18     0.01                             orgQhull::QhullFacet::getCenter(qh_PRINT)
  0.31      3.19     0.01                             orgQhull::QhullQh::maybeThrowQhullMessage(int)
  0.00      3.19     0.00  7424308     0.00     0.00  CGAL::possibly(bool)
  0.00      3.19     0.00  4057623     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      3.19     0.00  4033624     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      3.19     0.00  3881271     0.00     0.00  operator new(unsigned long, void*)
  0.00      3.19     0.00  3541681     0.00     0.00  std::array<double, 3ul> const& CGAL::get_pointee_or_identity<std::array<double, 3ul> >(std::array<double, 3ul> const&)
  0.00      3.19     0.00  3541681     0.00     0.00  std::array<double, 3ul>::operator[](unsigned long) const
  0.00      3.19     0.00  3541681     0.00     0.00  std::__array_traits<double, 3ul>::_S_ref(double const (&) [3], unsigned long)
  0.00      3.19     0.00  2839630     0.00     0.00  CGAL::SM_Index<CGAL::SM_Halfedge_index>::operator unsigned int() const
  0.00      3.19     0.00  2526075     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      3.19     0.00  2413409     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      3.19     0.00  1961376     0.00     0.00  CGAL::SM_Vertex_index&& std::forward<CGAL::SM_Vertex_index>(std::remove_reference<CGAL::SM_Vertex_index>::type&)
  0.00      3.19     0.00  1875062     0.00     0.00  CGAL::SM_Index<CGAL::SM_Halfedge_index>::operator==(CGAL::SM_Halfedge_index const&) const
  0.00      3.19     0.00  1839904     0.00     0.00  CGAL::Point_3<CGAL::Simple_cartesian<double> >::rep() const
  0.00      3.19     0.00  1801118     0.00     0.00  std::vector<CGAL::SM_Vertex_index, std::allocator<CGAL::SM_Vertex_index> >::size() const
  0.00      3.19     0.00  1793818     0.00     0.00  std::vector<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Halfedge_connectivity, std::allocator<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Halfedge_connectivity> >::operator[](unsigned long)
  0.00      3.19     0.00  1779872     0.00     0.00  CGAL::SM_Halfedge_index::SM_Halfedge_index()
  0.00      3.19     0.00  1699608     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      3.19     0.00  1692378     0.00     0.00  boost::tuples::detail::cnull()
  0.00      3.19     0.00  1526880     0.00     0.00  std::move_iterator<CGAL::SM_Vertex_index*>::base() const
  0.00      3.19     0.00  1427602     0.00     0.00  std::move_iterator<int*>::base() const
  0.00      3.19     0.00  1427602     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      3.19     0.00  1427602     0.00     0.00  std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.00      3.19     0.00  1427602     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      3.19     0.00  1427602     0.00     0.00  unsigned long std::allocator_traits<std::allocator<int> >::_S_max_size<std::allocator<int> const, void>(std::allocator<int> const&, int)
  0.00      3.19     0.00  1427602     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      3.19     0.00  1427602     0.00     0.00  std::_Miter_base<std::move_iterator<int*> >::iterator_type std::__miter_base<std::move_iterator<int*> >(std::move_iterator<int*>)
  0.00      3.19     0.00  1427602     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int*, std::move_iterator<int*> >(int*)
  0.00      3.19     0.00  1390464     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      3.19     0.00  1390464     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      3.19     0.00  1390464     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      3.19     0.00  1330083     0.00     0.00  std::remove_reference<int*&>::type&& std::move<int*&>(int*&)
  0.00      3.19     0.00  1298122     0.00     0.00  CGAL::SM_Index<CGAL::SM_Vertex_index>::operator unsigned int() const
  0.00      3.19     0.00  1180533     0.00     0.00  CGAL::VectorC3<CGAL::Simple_cartesian<double> >::z() const
  0.00      3.19     0.00  1125025     0.00     0.00  CGAL::CartesianKernelFunctors::Compute_x_3<CGAL::Simple_cartesian<double> >::operator()(CGAL::Vector_3<CGAL::Simple_cartesian<double> > const&) const
  0.00      3.19     0.00  1125025     0.00     0.00  CGAL::Cartesian_base_no_ref_count<double, CGAL::Simple_cartesian<double> >::compute_x_3_object() const
  0.00      3.19     0.00  1125025     0.00     0.00  CGAL::Vector_3<CGAL::Simple_cartesian<double> >::x() const
  0.00      3.19     0.00  1125007     0.00     0.00  CGAL::CartesianKernelFunctors::Compute_y_3<CGAL::Simple_cartesian<double> >::operator()(CGAL::Vector_3<CGAL::Simple_cartesian<double> > const&) const
  0.00      3.19     0.00  1125007     0.00     0.00  CGAL::Cartesian_base_no_ref_count<double, CGAL::Simple_cartesian<double> >::compute_y_3_object() const
  0.00      3.19     0.00  1125007     0.00     0.00  CGAL::Vector_3<CGAL::Simple_cartesian<double> >::y() const
  0.00      3.19     0.00  1095333     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      3.19     0.00  1078811     0.00     0.00  std::vector<CGAL::SM_Vertex_index, std::allocator<CGAL::SM_Vertex_index> >::operator[](unsigned long)
  0.00      3.19     0.00  1059897     0.00     0.00  __gnu_cxx::new_allocator<CGAL::SM_Vertex_index>::max_size() const
  0.00      3.19     0.00   985810     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      3.19     0.00   985807     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      3.19     0.00   985807     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      3.19     0.00   985807     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      3.19     0.00   923278     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      3.19     0.00   863656     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      3.19     0.00   856078     0.00     0.00  std::_Vector_base<CGAL::SM_Vertex_index, std::allocator<CGAL::SM_Vertex_index> >::_M_get_Tp_allocator()
  0.00      3.19     0.00   850054     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.00      3.19     0.00   850054     0.00     0.00  std::enable_if<std::__and_<std::allocator_traits<std::allocator<int> >::__construct_helper<int<int> >::type>::value, void>::type std::allocator_traits<std::allocator<int> >::_S_construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00      3.19     0.00   850054     0.00     0.00  void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      3.19     0.00   850054     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.00      3.19     0.00   808188     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      3.19     0.00   763440     0.00     0.00  bool std::operator==<CGAL::SM_Vertex_index*>(std::move_iterator<CGAL::SM_Vertex_index*> const&, std::move_iterator<CGAL::SM_Vertex_index*> const&)
  0.00      3.19     0.00   763440     0.00     0.00  bool std::operator!=<CGAL::SM_Vertex_index*>(std::move_iterator<CGAL::SM_Vertex_index*> const&, std::move_iterator<CGAL::SM_Vertex_index*> const&)
  0.00      3.19     0.00   728571     0.00     0.00  std::remove_reference<CGAL::SM_Vertex_index&>::type&& std::move<CGAL::SM_Vertex_index&>(CGAL::SM_Vertex_index&)
  0.00      3.19     0.00   713801     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      3.19     0.00   713801     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      3.19     0.00   713801     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      3.19     0.00   713801     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      3.19     0.00   713801     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      3.19     0.00   706254     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      3.19     0.00   691802     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      3.19     0.00   689288     0.00     0.00  std::_Vector_base<CGAL::SM_Vertex_index, std::allocator<CGAL::SM_Vertex_index> >::_M_get_Tp_allocator() const
  0.00      3.19     0.00   689288     0.00     0.00  std::vector<CGAL::SM_Vertex_index, std::allocator<CGAL::SM_Vertex_index> >::max_size() const
  0.00      3.19     0.00   689288     0.00     0.00  std::move_iterator<CGAL::SM_Vertex_index*>::move_iterator(CGAL::SM_Vertex_index*)
  0.00      3.19     0.00   689288     0.00     0.00  unsigned long std::allocator_traits<std::allocator<CGAL::SM_Vertex_index> >::_S_max_size<std::allocator<CGAL::SM_Vertex_index> const, void>(std::allocator<CGAL::SM_Vertex_index> const&, int)
  0.00      3.19     0.00   689288     0.00     0.00  std::allocator_traits<std::allocator<CGAL::SM_Vertex_index> >::max_size(std::allocator<CGAL::SM_Vertex_index> const&)
  0.00      3.19     0.00   689288     0.00     0.00  std::move_iterator<CGAL::SM_Vertex_index*> std::__make_move_if_noexcept_iterator<CGAL::SM_Vertex_index*, std::move_iterator<CGAL::SM_Vertex_index*> >(CGAL::SM_Vertex_index*)
  0.00      3.19     0.00   683313     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      3.19     0.00   676653     0.00     0.00  std::allocator<int>::~allocator()
  0.00      3.19     0.00   676653     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      3.19     0.00   676653     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      3.19     0.00   657390     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int>(int&&)
  0.00      3.19     0.00   654262     0.00     0.00  CGAL::Point_3<CGAL::Simple_cartesian<double> >&& std::forward<CGAL::Point_3<CGAL::Simple_cartesian<double> > >(std::remove_reference<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::type&)
  0.00      3.19     0.00   650088     0.00     0.00  boost::iterators::detail::iterator_facade_base<CGAL::Vertex_around_face_iterator<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > > >, CGAL::SM_Vertex_index, std::bidirectional_iterator_tag, CGAL::SM_Vertex_index, long, false, false>::derived()
  0.00      3.19     0.00   637936     0.00     0.00  std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  0.00      3.19     0.00   613324     0.00     0.00  CGAL::CartesianKernelFunctors::Compute_x_3<CGAL::Simple_cartesian<double> >::operator()(CGAL::Point_3<CGAL::Simple_cartesian<double> > const&) const
  0.00      3.19     0.00   613324     0.00     0.00  CGAL::PointC3<CGAL::Simple_cartesian<double> >::x() const
  0.00      3.19     0.00   613324     0.00     0.00  CGAL::Point_3<CGAL::Simple_cartesian<double> >::x() const
  0.00      3.19     0.00   613306     0.00     0.00  CGAL::Point_3<CGAL::Simple_cartesian<double> >::y() const
  0.00      3.19     0.00   613274     0.00     0.00  CGAL::CartesianKernelFunctors::Compute_z_3<CGAL::Simple_cartesian<double> >::operator()(CGAL::Point_3<CGAL::Simple_cartesian<double> > const&) const
  0.00      3.19     0.00   613274     0.00     0.00  CGAL::PointC3<CGAL::Simple_cartesian<double> >::z() const
  0.00      3.19     0.00   613274     0.00     0.00  CGAL::Point_3<CGAL::Simple_cartesian<double> >::z() const
  0.00      3.19     0.00   611851     0.00     0.00  std::vector<CGAL::SM_Halfedge_index, std::allocator<CGAL::SM_Halfedge_index> >::operator[](unsigned long)
  0.00      3.19     0.00   576268     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      3.19     0.00   564832     0.00     0.00  std::pair<CGAL::SM_Halfedge_index, CGAL::SM_Halfedge_index>&& std::forward<std::pair<CGAL::SM_Halfedge_index, CGAL::SM_Halfedge_index> >(std::remove_reference<std::pair<CGAL::SM_Halfedge_index, CGAL::SM_Halfedge_index> >::type&)
  0.00      3.19     0.00   548040     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.19     0.00   548040     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.19     0.00   548040     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.19     0.00   548040     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.19     0.00   539426     0.00     0.00  CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Property_map<CGAL::SM_Halfedge_index, CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Halfedge_connectivity>::operator[](CGAL::SM_Halfedge_index const&)
  0.00      3.19     0.00   538366     0.00     0.00  std::move_iterator<CGAL::Point_3<CGAL::Simple_cartesian<double> >*>::base() const
  0.00      3.19     0.00   538273     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      3.19     0.00   537160     0.00     0.00  CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::target(CGAL::SM_Halfedge_index) const
  0.00      3.19     0.00   507441     0.00     0.00  std::array<double, (1)+(sizeof (double, double))> CGAL::make_array<double, double, double>(double const&, double const&, double const&)
  0.00      3.19     0.00   507441     0.00     0.00  CGAL::VectorC3<CGAL::Simple_cartesian<double> >::VectorC3(double const&, double const&, double const&)
